Order ID,Customer Name,Category,Sub Category,,
OD1,Harish,Oil & Masala,Masalas,,
OD2,Sudha,Beverages,Health Drinks,,
OD3,Hussain,Food Grains,Atta & Flour,,
OD4,Jackson,Fruits & Veggies,Fresh Vegetables,,
OD5,Ridhesh,Food Grains,Organic Staples,,
OD6,Adavan,Food Grains,Organic Staples,,
OD7,Jonas,Fruits & Veggies,Fresh Vegetables,,
OD8,Hafiz,Fruits & Veggies,Fresh Fruits,,
OD9,Hafiz,Bakery,Biscuits,,
OD10,Krithika,Bakery,Cakes,,
OD11,Ganesh,Snacks,Chocolates,,
OD12,Yadav,"Eggs, Meat & Fish",Eggs,,
OD13,Sharon,Snacks,Cookies,,
OD14,Peer,Fruits & Veggies,Fresh Vegetables,,
OD15,Sundar,"Eggs, Meat & Fish",Chicken,,
OD16,Ramesh,Oil & Masala,Edible Oil & Ghee,,
OD17,Alan,Bakery,Cakes,,
OD18,Arutra,Beverages,Health Drinks,,
OD19,Haseena,"Eggs, Meat & Fish",Mutton,,
OD20,Verma,Beverages,Soft Drinks,,
OD21,Hafiz,Beverages,Health Drinks,,
OD22,Alan,Food Grains,Dals & Pulses,,
OD23,Haseena,Beverages,Soft Drinks,,
OD24,Alan,Fruits & Veggies,Organic Vegetables,,
OD25,Sharon,"Eggs, Meat & Fish",Eggs,,
OD26,Krithika,Snacks,Chocolates,,
OD27,Muneer,Snacks,Cookies,,
OD28,Jackson,Bakery,Biscuits,,
OD29,Veronica,Beverages,Soft Drinks,,
OD30,Shah,Oil & Masala,Masalas,,
OD31,Ramesh,Beverages,Soft Drinks,,
OD32,Mathew,Snacks,Noodles,,
OD33,Akash,Oil & Masala,Edible Oil & Ghee,,
OD34,Anu,Oil & Masala,Masalas,,
OD35,Anu,Beverages,Health Drinks,,
OD36,Sabeela,"Eggs, Meat & Fish",Eggs,,
OD37,James,Beverages,Soft Drinks,,
OD38,Willams,Fruits & Veggies,Organic Vegetables,,
OD39,Jonas,Fruits & Veggies,Fresh Fruits,,
OD40,Sabeela,"Eggs, Meat & Fish",Chicken,,
OD41,Malik,Beverages,Health Drinks,,
OD42,Arutra,Beverages,Soft Drinks,,
OD43,Sharon,Snacks,Cookies,,
OD44,Mathew,Snacks,Cookies,,
OD45,Amrish,Bakery,Biscuits,,
OD46,Vince,"Eggs, Meat & Fish",Eggs,,
OD47,Suresh,Fruits & Veggies,Organic Vegetables,,
OD48,Mathew,Snacks,Noodles,,
OD49,Ridhesh,Snacks,Noodles,,
OD50,Amrish,Bakery,Cakes,,
OD51,Esther,Beverages,Soft Drinks,,
OD52,Shah,Beverages,Soft Drinks,,
OD53,Sudha,Bakery,Cakes,,
OD54,Yusuf,Fruits & Veggies,Fresh Vegetables,,
OD55,Esther,Fruits & Veggies,Organic Fruits,,
OD56,Muneer,Food Grains,Atta & Flour,,
OD57,Komal,"Eggs, Meat & Fish",Fish,,
OD58,Veena,Food Grains,Dals & Pulses,,
OD59,Sharon,"Eggs, Meat & Fish",Mutton,,
OD60,Shree,Beverages,Health Drinks,,
OD61,Roshan,Oil & Masala,Masalas,,
OD62,Willams,Snacks,Noodles,,
OD63,Sudeep,"Eggs, Meat & Fish",Fish,,
OD64,Yusuf,Fruits & Veggies,Fresh Fruits,,
OD65,Willams,"Eggs, Meat & Fish",Eggs,,
OD66,Muneer,"Eggs, Meat & Fish",Mutton,,
OD67,Vinne,Food Grains,Atta & Flour,,
OD68,Roshan,Fruits & Veggies,Fresh Vegetables,,
OD69,Ramesh,Food Grains,Atta & Flour,,
OD70,Peer,Oil & Masala,Masalas,,
OD71,Verma,"Eggs, Meat & Fish",Mutton,,
OD72,Yusuf,Snacks,Noodles,,
OD73,Alan,Snacks,Cookies,,
OD74,Vidya,Fruits & Veggies,Organic Vegetables,,
OD75,Arvind,Beverages,Soft Drinks,,
OD76,Veronica,Beverages,Soft Drinks,,
OD77,Arvind,Fruits & Veggies,Organic Fruits,,
OD78,Anu,Snacks,Noodles,,
OD79,Haseena,Snacks,Cookies,,
OD80,Veena,Fruits & Veggies,Organic Fruits,,
OD81,Kumar,Beverages,Health Drinks,,
OD82,Amy,Food Grains,Atta & Flour,,
OD83,Komal,Oil & Masala,Spices,,
OD84,Ravi,Beverages,Soft Drinks,,
OD85,Amy,Fruits & Veggies,Organic Fruits,,
OD86,Willams,Oil & Masala,Spices,,
OD87,Sharon,Food Grains,Rice,,
OD88,Ramesh,"Eggs, Meat & Fish",Eggs,,
OD89,Sheeba,Bakery,Breads & Buns,,
OD90,Krithika,Food Grains,Dals & Pulses,,
OD91,Willams,"Eggs, Meat & Fish",Chicken,,
OD92,Roshan,Beverages,Health Drinks,,
OD93,Ravi,Food Grains,Atta & Flour,,
OD94,Ram,Fruits & Veggies,Fresh Fruits,,
OD95,Mathew,Snacks,Chocolates,,
OD96,Veena,"Eggs, Meat & Fish",Fish,,
OD97,Sudha,Food Grains,Atta & Flour,,
OD98,Sharon,Fruits & Veggies,Fresh Fruits,,
OD99,Vince,Snacks,Chocolates,,
OD100,Krithika,Oil & Masala,Spices,,
OD101,Adavan,Bakery,Cakes,,
OD102,Roshan,Beverages,Soft Drinks,,
OD103,Vinne,Snacks,Chocolates,,
OD104,Amy,Fruits & Veggies,Fresh Fruits,,
OD105,Suresh,Food Grains,Dals & Pulses,,
OD106,Komal,Oil & Masala,Masalas,,
OD107,Sundar,Beverages,Health Drinks,,
OD108,Willams,Snacks,Cookies,,
OD109,Vidya,"Eggs, Meat & Fish",Eggs,,
OD110,Shree,Fruits & Veggies,Fresh Fruits,,
OD111,Sundar,Food Grains,Dals & Pulses,,
OD112,Arvind,Bakery,Breads & Buns,,
OD113,Ravi,Oil & Masala,Edible Oil & Ghee,,
OD114,Vinne,Fruits & Veggies,Fresh Vegetables,,
OD115,Muneer,Snacks,Noodles,,
OD116,Rumaiza,Snacks,Chocolates,,
OD117,Hussain,Fruits & Veggies,Organic Fruits,,
OD118,Arvind,Fruits & Veggies,Organic Vegetables,,
OD119,Akash,Food Grains,Rice,,
OD120,Ganesh,"Eggs, Meat & Fish",Chicken,,
OD121,Alan,Fruits & Veggies,Organic Vegetables,,
OD122,Harish,Bakery,Cakes,,
OD123,Veronica,"Eggs, Meat & Fish",Mutton,,
OD124,Anu,Beverages,Soft Drinks,,
OD125,Sudeep,Bakery,Breads & Buns,,
